,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
71,510050.XSHG,510050,华夏上证50ETF,2015-04-22,3.24,2015-04-23,4.18,CNY,4.6368,0.083,2.6291,2.6294,26812,华夏基金
72,510050.XSHG,510050,华夏上证50ETF,2015-04-23,3.215,2015-04-24,4.151,CNY,4.601,-0.025,-0.7716,-0.7721,26812,华夏基金
73,510050.XSHG,510050,华夏上证50ETF,2015-04-24,3.167,2015-04-25,4.094,CNY,4.5323,-0.048,-1.493,-1.4932,26812,华夏基金
74,510050.XSHG,510050,华夏上证50ETF,2015-04-27,3.249,2015-04-28,4.191,CNY,4.6496,0.082,2.5892,2.588,26812,华夏基金
75,510050.XSHG,510050,华夏上证50ETF,2015-04-28,3.224,2015-04-29,4.161,CNY,4.6139,-0.025,-0.7695,-0.7679,26812,华夏基金
76,510050.XSHG,510050,华夏上证50ETF,2015-04-29,3.224,2015-04-30,4.161,CNY,4.6139,0.0,0.0,0.0,26812,华夏基金
77,510050.XSHG,510050,华夏上证50ETF,2015-04-30,3.194,2015-05-01,4.126,CNY,4.5709,-0.03,-0.9305,-0.932,26812,华夏基金
78,510050.XSHG,510050,华夏上证50ETF,2015-05-04,3.214,2015-05-05,4.149,CNY,4.5996,0.02,0.6262,0.6278,26812,华夏基金
79,510050.XSHG,510050,华夏上证50ETF,2015-05-05,3.095,2015-05-06,4.008,CNY,4.4292,-0.119,-3.7026,-3.7047,26812,华夏基金
80,510050.XSHG,510050,华夏上证50ETF,2015-05-06,3.086,2015-05-07,3.998,CNY,4.4164,-0.009,-0.2908,-0.289,26812,华夏基金
81,510050.XSHG,510050,华夏上证50ETF,2015-05-07,3.043,2015-05-08,3.947,CNY,4.3548,-0.043,-1.3934,-1.3949,26812,华夏基金
82,510050.XSHG,510050,华夏上证50ETF,2015-05-08,3.058,2015-05-09,3.965,CNY,4.3763,0.015,0.4929,0.4937,26812,华夏基金
83,510050.XSHG,510050,华夏上证50ETF,2015-05-11,3.115,2015-05-12,4.032,CNY,4.4579,0.057,1.864,1.8645,26812,华夏基金
84,510050.XSHG,510050,华夏上证50ETF,2015-05-12,3.133,2015-05-13,4.053,CNY,4.4836,0.018,0.5778,0.5765,26812,华夏基金
85,510050.XSHG,510050,华夏上证50ETF,2015-05-13,3.088,2015-05-14,4.0,CNY,4.4192,-0.045,-1.4363,-1.4364,26812,华夏基金
86,510050.XSHG,510050,华夏上证50ETF,2015-05-14,3.075,2015-05-15,3.985,CNY,4.4006,-0.013,-0.421,-0.4209,26812,华夏基金
87,510050.XSHG,510050,华夏上证50ETF,2015-05-15,3.01,2015-05-16,3.908,CNY,4.3076,-0.065,-2.1138,-2.1134,26812,华夏基金
88,510050.XSHG,510050,华夏上证50ETF,2015-05-18,2.95,2015-05-19,3.837,CNY,4.2217,-0.06,-1.9934,-1.9942,26812,华夏基金
89,510050.XSHG,510050,华夏上证50ETF,2015-05-19,3.063,2015-05-20,3.971,CNY,4.3835,0.113,3.8305,3.8325,26812,华夏基金
90,510050.XSHG,510050,华夏上证50ETF,2015-05-20,3.076,2015-05-21,3.986,CNY,4.4021,0.013,0.4244,0.4243,26812,华夏基金
91,510050.XSHG,510050,华夏上证50ETF,2015-05-21,3.103,2015-05-22,4.018,CNY,4.4407,0.027,0.8778,0.8768,26812,华夏基金
92,510050.XSHG,510050,华夏上证50ETF,2015-05-22,3.197,2015-05-23,4.129,CNY,4.5752,0.094,3.0293,3.0288,26812,华夏基金
93,510050.XSHG,510050,华夏上证50ETF,2015-05-25,3.292,2015-05-26,4.242,CNY,4.7112,0.095,2.9715,2.9725,26812,华夏基金
94,510050.XSHG,510050,华夏上证50ETF,2015-05-26,3.326,2015-05-27,4.282,CNY,4.7598,0.034,1.0328,1.0315,26812,华夏基金
95,510050.XSHG,510050,华夏上证50ETF,2015-05-27,3.29,2015-05-28,4.239,CNY,4.7083,-0.036,-1.0824,-1.082,26812,华夏基金
96,510050.XSHG,510050,华夏上证50ETF,2015-05-28,3.08,2015-05-29,3.991,CNY,4.4078,-0.21,-6.383,-6.3824,26812,华夏基金
97,510050.XSHG,510050,华夏上证50ETF,2015-05-29,3.067,2015-05-30,3.975,CNY,4.3892,-0.013,-0.4221,-0.422,26812,华夏基金
98,510050.XSHG,510050,华夏上证50ETF,2015-06-01,3.196,2015-06-02,4.128,CNY,4.5738,0.129,4.2061,4.2057,26812,华夏基金
99,510050.XSHG,510050,华夏上证50ETF,2015-06-02,3.209,2015-06-03,4.143,CNY,4.5924,0.013,0.4068,0.4066,26812,华夏基金
100,510050.XSHG,510050,华夏上证50ETF,2015-06-03,3.195,2015-06-04,4.127,CNY,4.5724,-0.014,-0.4363,-0.4356,26812,华夏基金
101,510050.XSHG,510050,华夏上证50ETF,2015-06-04,3.254,2015-06-05,4.197,CNY,4.6568,0.059,1.8466,1.8458,26812,华夏基金
102,510050.XSHG,510050,华夏上证50ETF,2015-06-05,3.258,2015-06-06,4.201,CNY,4.6625,0.004,0.1229,0.1224,26812,华夏基金
103,510050.XSHG,510050,华夏上证50ETF,2015-06-08,3.41,2015-06-09,4.381,CNY,4.88,0.152,4.6654,4.6648,26812,华夏基金
104,510050.XSHG,510050,华夏上证50ETF,2015-06-09,3.367,2015-06-10,4.33,CNY,4.8185,-0.043,-1.261,-1.2603,26812,华夏基金
105,510050.XSHG,510050,华夏上证50ETF,2015-06-10,3.327,2015-06-11,4.283,CNY,4.7613,-0.04,-1.188,-1.1871,26812,华夏基金
106,510050.XSHG,510050,华夏上证50ETF,2015-06-11,3.306,2015-06-12,4.258,CNY,4.7312,-0.021,-0.6312,-0.6322,26812,华夏基金
107,510050.XSHG,510050,华夏上证50ETF,2015-06-12,3.31,2015-06-13,4.263,CNY,4.7369,0.004,0.121,0.1204,26812,华夏基金
